face	Iniciála	Částka	Zaplaceno	Poznámka
14.12	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
14.12	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
15.12	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
19.12	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
19.12	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
20.12	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
20.12	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
20.12	HK	(2 000,00 Kč)	1	Rumy
21.12	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
12.01	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
2.02	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
5.02	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
5.02	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
16.02	TK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
20.02	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
22.02	TCH	20,00 Kč	1	neomluvený pozdní příchod
22.02	ZM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
22.02	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
23.02	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
26.02	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
26.02	HK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
26.02	PS	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
27.02	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
28.02	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
29.02	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
29.02	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
29.02	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
1.03	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
1.03	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
05.03	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
05.03	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
8.03	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
11.03	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
12.03	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
13.03	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.03	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
15.03	HK	(10,00 Kč)	1	Inventura
18.03	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
20.03	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
20.03	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
26.03	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
26.03	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
26.03	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
2.04	HK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
2.04	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
2.04	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
4.04	TCH	20,00 Kč	1	neomluvený pozdní příchod
4.04	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
5.04	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
8.04	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
12.04	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
16.04	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
18.04	TCH	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
19.04	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
22.04	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
23.04	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
29.04	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.04	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
7.05	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.05	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.05	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.05	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
16.05	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
17.05	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
17.05	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
17.05	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
21.05	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
23.05	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
28.05	TCH	20,00 Kč	1	neomluvený pozdní příchod
4.06	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
6.06	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
7.06	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.06	HK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
10.06	PST	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
10.06	TCH	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
11.06	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
11.06	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
11.06	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.06	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
18.06	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
18.06	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
24.06	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
1.07	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
3.07	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.07	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
11.07	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
11.07	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
12.07	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
19.07	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
19.07	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
19.07	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
22.07	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
